"site","east","north","AMEAN66","AMEAN67","AMEAN68","AMEAN69","AMEAN70","AMEAN71","AMEAN72","AMEAN73","AMEAN74","AMEAN75","AMEAN76","AMEAN77","AMEAN78","AMEAN79","AMEAN80","AMEAN81","AMEAN82","AMEAN83","AMEAN84","AMEAN85","AMEAN86","AMEAN87","AMEAN88","AMEAN89","AMEAN90","AMEAN91","AMEAN92","AMEAN93","AMEAN94","AMEAN95","AMEAN96"
"STRATFORD 2",538800,184100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,13,19,17,16,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STRATFORD-UPON-AVON 1",419900,254800,52,44,44,39,31,26,23,21,16,19,15,14,17,16,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STRETFORD (TRAFFORD) 7",381000,395800,45,43,47,37,37,41,31,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STRETFORD (TRAFFORD) 8",381100,395800,119,116,NA,NA,NA,NA,NA,NA,95,59,64,62,51,55,43,45,37,34,23,36,25,19,13,NA,NA,NA,NA,NA,NA,NA,NA
"STRETFORD (TRAFFORD) 12",380100,396600,113,119,NA,NA,NA,NA,NA,NA,NA,50,45,39,39,43,30,37,17,23,16,25,20,17,12,NA,NA,NA,NA,NA,NA,NA,NA
"STROOD 2",574400,170100,190,187,NA,NA,NA,NA,NA,NA,NA,136,106,79,78,67,42,34,68,62,31,66,56,52,25,27,23,26,19,17,16,12,9
"STUDLEY 1",407000,263300,118,118,NA,NA,NA,NA,NA,NA,NA,56,54,41,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUNDERLAND 6",436600,556300,127,125,NA,NA,NA,NA,NA,NA,78,51,56,42,37,38,27,34,26,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUNDERLAND 7",440700,555800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,32,32,21,25,19,26,17,16,11,20,22,21,16,15,11,10,8
"SUNDERLAND 8",439100,558500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,19,30,25,27,18,14,10,16,11,7,NA,NA,NA
"SUNDERLAND 9",439800,557000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,32,45,31,42,32,32,35,27,15,14,10,8,NA
"SUNDERLAND 10",439200,556200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,35,38,37,21,18,17,8,NA,NA,NA,NA,NA
"SUNDERLAND 12",439800,557000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,16,15,12,9,7
"SUNDERLAND 14",438200,557200,NA,NA,NA,46,42,44,56,28,45,47,31,21,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUNDERLAND 15",435000,559000,76,73,62,52,44,43,44,37,27,30,26,19,21,20,16,19,14,17,16,13,11,16,15,13,10,9,6,7,6,NA,NA
"SUNDERLAND 16",440400,558400,53,45,47,35,34,32,33,28,22,22,22,20,21,19,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUNDERLAND 17",440600,558700,NA,NA,NA,NA,NA,NA,NA,NA,36,34,30,18,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SURBITON 5",518600,167400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,17,24,12,21,20,17,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUTTON COLDFIELD 5",410800,294200,43,50,34,27,26,23,21,21,16,19,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUTTON COLDFIELD 6",411700,298900,44,42,40,35,28,24,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWADLINCOTE 5",430000,319800,40,43,37,36,34,45,36,33,28,34,33,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWADLINCOTE 6",429700,319600,12,21,16,10,12,16,13,13,12,13,13,9,8,9,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWANLEY 1",551200,168900,26,28,28,24,20,31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWANSCOMBE 2",560500,173900,NA,NA,NA,NA,NA,NA,31,22,21,21,21,15,15,15,17,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWANSEA 4",266900,198000,NA,NA,NA,NA,NA,NA,NA,22,18,19,20,14,15,15,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWANSEA 5",261200,188800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,39,30,37,30,30,21,25,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWANSEA 7",270300,197200,40,36,32,23,21,20,24,27,22,25,21,16,18,19,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWANSEA 20",267800,195900,47,37,36,33,35,35,29,24,20,21,22,15,17,17,13,14,10,11,9,9,10,10,12,8,9,9,8,9,7,9,7
"SWANSEA 22",269200,197300,27,29,23,27,24,24,23,27,16,19,15,13,14,14,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWILLINGTON 1",438400,430400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,45,43,29,43,28,30,21,23,22,23,21,17,12,NA,NA,NA,NA,NA,NA
"SWINDON 1",415400,184500,124,112,110,74,78,63,59,46,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWINDON 3",416800,184300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,28,19,25,18,20,13,8,11,10,12,12,12,NA,NA,NA,NA,NA,NA
"SWINTON (YORKS) 7",446000,399200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,28,28,27,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWINTON & PENDLEBURY 6",376900,400500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,25,28,26,19,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TADCASTER 1",448600,443400,33,31,33,25,22,24,20,27,17,17,15,12,12,13,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMWORTH 9",421500,300500,54,56,43,NA,NA,NA,21,32,24,30,25,18,22,19,17,19,15,15,13,14,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMWORTH 10",422000,301400,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,26,24,23,24,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEDDINGTON 2",515300,170800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,15,13,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEDDINGTON 3",515900,171000,17,18,21,19,13,25,24,20,34,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TELFORD 1",370500,313600,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,36,39,26,30,24,14,17,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THAME 1",471000,206000,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,9,12,11,13,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THAMES DITTON 1",515500,166700,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,13,17,15,14,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIRSK 1",442900,481700,90,105,88,79,95,70,74,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THORNABY-ON-TEES 3",445800,516200,44,40,35,30,29,39,41,32,13,22,19,14,13,16,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THORNABY-ON-TEES 4",445600,517500,86,71,64,66,57,58,69,55,35,39,47,32,30,30,27,25,17,18,19,19,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THORNE 1",468900,413000,64,57,61,48,40,35,47,42,23,29,23,22,20,24,22,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THURROCK 6",558500,181300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,12,14,12,12,8,NA,NA,NA
"THURROCK 7",562300,178500,20,27,38,30,25,24,23,22,14,18,25,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THURROCK 9",558400,177700,68,50,43,42,39,31,26,22,14,21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THURROCK 12",561400,177800,38,24,21,20,18,20,16,14,10,13,11,9,13,14,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THURSBY 1",332600,550300,59,35,30,30,29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TILBURY/THURROCK 26",564300,176300,32,22,23,17,21,17,9,19,14,12,10,10,15,13,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TILBURY/THURROCK 29",576600,187400,24,18,19,15,19,21,15,18,12,13,9,8,11,10,10,9,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TILBURY/THURROCK 32",553900,182800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,10,10,10,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TILBURY/THURROCK 33",558900,172300,NA,NA,NA,NA,NA,NA,NA,NA,33,32,30,26,23,20,13,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TILBURY/THURROCK 34",567300,168300,50,33,32,26,29,22,21,18,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TODDINGTON 1",500800,229100,43,32,33,25,24,22,22,19,10,17,17,12,20,11,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TODMORDEN 2",393700,424100,29,29,28,25,22,16,20,10,8,14,15,12,10,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TONBRIDGE 1",559800,148400,76,53,60,47,52,47,36,36,23,37,31,23,26,24,20,21,18,23,18,15,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TONBRIDGE 2",559000,146600,104,104,86,67,67,64,50,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TORQUAY 3",292200,65700,NA,72,41,36,32,30,25,16,22,28,22,17,19,21,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOTTENHAM 6",533700,189400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,17,13,16,14,17,11,14,14,12,10,10,11,9
"TOTTINGTON 1",377600,413000,75,91,75,75,66,45,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOTTON 1",436000,113500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,30,18,13,12,9,8,7
"TRAFFORD 1",381000,395800,NA,NA,NA,NA,NA,NA,NA,NA,76,60,84,73,75,70,56,60,43,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRANENT 1",340500,672700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,27,24,23,23,21,21,NA,NA,NA,NA,NA,NA,NA
"TRANENT 2",340400,672600,NA,NA,NA,NA,NA,NA,NA,NA,36,38,34,34,36,35,21,32,26,26,22,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TREETON 2",443200,387700,66,34,33,35,23,22,18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TREETON 3",443200,387800,NA,NA,NA,NA,123,51,49,30,29,27,28,20,21,21,17,25,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TROWELL 1",448700,339800,33,35,37,38,34,34,33,37,23,29,24,20,24,21,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUNBRIDGE WELLS 2",558500,140200,43,42,45,45,36,35,32,31,21,26,24,20,23,20,19,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUPTON 1",439500,366100,150,150,137,153,125,116,120,76,54,49,48,44,34,25,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TWICKENHAM 3",513900,169600,131,130,113,103,66,53,47,39,33,36,37,31,34,28,21,23,16,20,19,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TWICKENHAM 4",513700,173000,NA,NA,NA,118,56,45,44,35,32,33,34,29,31,30,24,24,15,20,19,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYNEMOUTH 2",435200,568600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,16,17,12,14,11,10,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"URMSTON (TRAFFORD) 9",376600,394900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,18,17,16,17,19,15,NA,NA,NA,NA,NA,NA,NA,NA
"URMSTON (TRAFFORD) 10",374600,394400,120,117,57,NA,162,74,53,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"URMSTON (TRAFFORD) 15",373300,392400,149,171,68,NA,317,94,54,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"URMSTON (TRAFFORD) 16",377800,397500,196,217,132,NA,257,119,113,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAKEFIELD 17",433600,419600,92,166,89,NA,NA,122,91,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAKEFIELD 18",433000,420900,100,83,39,NA,141,55,50,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAKEFIELD 19",430800,420000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,42,36,21,31,22,22,22,19,21,21,14,16,15,17,11,11,11,13,13
"WAKEFIELD 20",433900,421000,78,75,91,63,57,41,41,24,21,16,23,16,19,18,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAKEFIELD 21",433300,416700,87,77,112,56,68,54,46,31,23,24,27,20,24,21,16,19,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAKEFIELD 26",433100,420800,104,135,118,80,96,71,70,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALLASEY 4",330300,392400,50,54,55,38,51,40,36,30,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALLASEY 6",331600,390800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,13,12,11,10,12,5,3,3,5,10,3,6,3
"WALLASEY 7",330800,392100,NA,NA,40,21,18,22,20,18,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALLASEY 8",326500,390300,NA,NA,NA,NA,NA,NA,NA,NA,23,18,18,14,19,15,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALLASEY 9",331600,390900,246,246,210,204,179,174,148,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALLINGFORD 1",460500,190000,85,95,80,73,86,93,71,50,27,25,30,28,21,20,11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALLINGFORD 2",460400,190000,NA,NA,NA,NA,NA,NA,NA,NA,93,64,54,69,62,42,23,27,30,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALLSEND 2",430400,566500,106,99,92,83,64,57,63,52,45,42,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALLSEND 4",431900,568200,87,75,75,72,51,41,57,45,65,63,45,38,45,42,31,38,27,32,29,17,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALLSEND 6",430100,566500,98,75,72,54,41,46,55,39,31,38,31,25,27,25,20,21,17,17,16,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALSALL 11",401400,298700,50,40,37,25,23,24,29,26,22,23,18,15,17,18,13,13,11,14,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALSALL 13",399500,300500,NA,92,75,49,53,53,61,61,46,44,40,32,35,34,25,34,23,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALSALL 15",400900,297300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,28,32,32,22,28,20,23,23,17,19,20,16,13,12,6,8,13,11,10,11
"WALSALL 16",403400,297500,55,32,46,37,41,38,44,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALSALL 17",400400,298400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,20,39,17,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALSALL 18",401400,298700,NA,NA,114,60,55,47,44,43,43,43,36,33,28,29,23,22,17,13,12,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALTHAM HOLY CROSS 7",538000,200700,166,158,113,133,27,101,111,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALTHAM HOLY CROSS 8",538100,200600,NA,NA,NA,37,36,35,47,42,31,22,17,14,17,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALTHAMSTOW 8",537400,188700,65,72,59,48,44,58,35,36,29,37,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALTON-LE-DALE 1",356400,426300,61,72,73,60,53,49,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WALTON-ON-THAMES 1",509900,166200,44,42,35,13,35,42,29,29,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WANDSWORTH 1",525900,174800,106,93,95,57,71,118,74,47,45,51,32,27,27,23,18,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WANDSWORTH 5",527600,171300,119,159,124,102,86,112,47,53,44,53,39,33,36,33,22,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WANSTEAD 1",540900,188300,141,169,144,108,86,117,117,66,46,49,42,28,31,26,18,22,17,15,16,16,17,16,14,16,18,14,14,15,12,13,11
"WARRINGTON 8",360300,388200,142,151,161,124,72,76,90,58,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WARRINGTON 9",359900,389700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,33,37,29,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WARRINGTON 18",362900,387700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,29,23,18,16,19,14
"WARRINGTON 19",362700,388000,44,46,44,39,31,33,31,31,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WARSOP (MANSFIELD) 2",456900,367500,NA,NA,NA,NA,NA,NA,NA,NA,21,18,18,16,14,14,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WARWICK 2",428300,264900,NA,NA,NA,NA,NA,NA,NA,NA,23,17,21,18,16,18,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WATFORD 7",510600,198700,NA,211,112,81,92,81,75,33,47,43,51,36,38,40,27,37,25,27,22,23,20,24,13,15,15,22,11,14,16,18,12
"WATFORD 8",510700,201000,116,94,92,85,68,61,59,43,38,35,42,36,38,30,23,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WATH-UPON-DEARNE 6",443300,400900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20,17,14,14,14,13,12,14,12,10,11,8,10,8
"WEDNESFIELD 1",394500,300200,19,18,17,15,15,25,17,10,NA,19,13,6,11,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEDNESFIELD 2",394600,300200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,10,15,31,14,6,11,6,8,6,11,8,9,9,6,8,9
"WEELEY 1",614900,222400,33,32,35,33,33,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WELSHPOOL 1",322800,307300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,27,26,19,21,18,15,19,20,21,17,NA,NA,NA,NA,18,17,NA,NA,NA
"WELWYN GARDEN CITY 1",523800,213200,80,83,66,68,62,51,82,49,37,33,42,45,37,31,27,26,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEMBLEY 7",518800,185300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,10,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST BRIDGFORD 3",458700,337600,80,67,61,53,54,44,46,40,31,32,25,19,18,18,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST BRIDGFORD 4",458700,337700,87,89,86,69,69,32,34,39,34,39,39,31,31,29,21,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST BROMWICH 12",400200,291300,86,84,61,54,53,40,41,39,35,41,37,22,19,20,15,17,16,15,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST BROMWICH 13",398700,291400,NA,NA,45,31,36,31,34,32,25,31,32,18,18,18,14,16,15,13,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST BROMWICH 16",400700,293300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,17,15,20,17,15,10,12,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST BROMWICH 17",403700,294200,35,37,45,41,39,62,31,30,23,27,26,20,21,20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST CALDER 1",302200,663400,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,17,13,20,14,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST DRAYTON 1",506400,179500,134,145,102,108,96,71,81,69,60,52,36,27,53,52,30,30,26,28,23,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST KIRBY 1",321200,387000,41,51,51,47,41,37,40,38,28,32,30,25,28,23,17,18,14,12,13,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESTHOUGHTON 1",365600,405900,57,57,64,50,45,51,41,43,40,34,36,23,25,22,18,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESTMINSTER 6",529800,179000,136,115,122,123,100,76,65,94,86,81,52,66,69,58,47,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESTMINSTER 7",529500,177900,51,53,45,43,42,38,38,39,28,33,26,19,25,20,14,16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESTMINSTER 10",530000,180500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,13,NA,NA,9,12,14,13,14,18,12
"WESTMINSTER 12",529100,177900,NA,NA,78,45,39,30,29,22,15,15,13,10,12,13,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESTMINSTER 17",529800,178900,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,22,18,18,17,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESTON (RUNCORN) 1",350900,380400,NA,NA,NA,NA,NA,NA,NA,NA,21,15,13,11,13,8,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
