"site","east","north","AMEAN66","AMEAN67","AMEAN68","AMEAN69","AMEAN70","AMEAN71","AMEAN72","AMEAN73","AMEAN74","AMEAN75","AMEAN76","AMEAN77","AMEAN78","AMEAN79","AMEAN80","AMEAN81","AMEAN82","AMEAN83","AMEAN84","AMEAN85","AMEAN86","AMEAN87","AMEAN88","AMEAN89","AMEAN90","AMEAN91","AMEAN92","AMEAN93","AMEAN94","AMEAN95","AMEAN96"
"SCUNTHORPE 16",488400,409500,NA,NA,NA,NA,56,51,45,31,28,37,34,29,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCUNTHORPE 17",488700,408000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,16,24,20,21,22,21,21,28,25,17,14,21,20,17,17,18,17
"SEAHAM  2",441700,549200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,23,27,21,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEATON DELAVAL 1",430800,575300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,22,14,14,14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEDGEFIELD 4",435400,528700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,10,11,11,6,NA,NA,NA,NA
"SEDGLEY 1",392400,291800,NA,NA,NA,NA,NA,NA,51,23,17,24,18,15,16,13,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEDGLEY 3",390200,292000,63,78,62,53,58,49,37,37,34,33,35,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEDGLEY 4",391900,293400,89,97,119,67,60,51,43,40,36,41,44,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEDGLEY 5",391900,293400,101,97,65,38,47,39,34,29,26,29,29,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SELBY 2",461400,431900,61,66,70,47,44,40,28,31,35,30,26,18,17,20,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SELBY 3",461200,432100,89,104,73,53,58,42,29,23,27,29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SELBY 4",461600,432400,139,145,160,108,98,88,63,53,50,39,37,28,31,27,25,31,28,20,20,16,16,17,15,15,12,5,NA,NA,NA,NA,NA
"SHEERNESS 1",592200,174800,74,63,70,51,54,46,33,32,32,38,37,27,27,26,24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEFFIELD 2",435400,387100,111,108,104,86,86,66,52,47,42,43,47,38,38,37,32,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEFFIELD 32",436200,387300,70,69,81,62,59,56,33,31,29,30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEFFIELD 36",434800,385700,NA,NA,NA,NA,61,40,35,28,28,32,28,19,23,19,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEFFIELD 37",434300,387800,NA,NA,NA,NA,181,121,84,79,68,69,83,56,55,59,58,56,43,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEFFIELD 39",434900,386800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,34,32,32,33,28,27,24,20,21,20,19,17,8,11,13,12,11,15,12
"SHEFFIELD 40",436400,388800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,60,62,60,53,45,51,46,36,43,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEFFIELD 44",438100,384900,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,28,18,17,20,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEFFIELD 48",439200,391600,NA,28,21,19,16,17,16,14,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEFFIELD 76",435500,388700,92,85,65,60,62,47,38,34,29,35,33,32,27,23,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEFFIELD 77",435000,389900,102,65,78,71,85,73,54,50,46,49,40,35,37,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEFFIELD 78",438100,388900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,24,18,25,19,17,16,20,23,17,NA,NA,NA,15,11,13,21
"SHEFFIELD 82",435500,387100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,56,46,47,28,10,8,5,NA
"SHEFFIELD 83",435200,385400,44,39,33,27,19,24,22,22,17,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEPSHED 1",447900,319900,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,22,21,18,18,24,18,16,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHERBORNE 1",363900,116900,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,17,14,17,15,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHIPLEY 2",414600,437500,125,127,144,112,107,89,79,65,49,48,51,41,43,39,29,34,18,25,20,23,29,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHOREDITCH 1",533300,182600,104,122,100,81,81,69,57,44,35,25,32,33,19,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHOREDITCH 2",533300,182600,34,36,37,37,31,30,28,28,21,26,26,23,25,25,25,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHOTTON 1",439500,540900,38,35,38,34,31,30,26,28,19,24,22,19,26,19,22,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SIDCUP 3",546200,171600,66,63,60,51,38,36,31,28,25,26,25,22,26,23,23,28,10,17,16,19,19,15,17,14,11,6,6,10,8,10,9
"SILEBY 1",460300,315000,NA,NA,NA,NA,31,49,52,47,33,40,37,34,39,36,36,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITTINGBOURNE 1",590700,163500,NA,NA,NA,NA,NA,NA,NA,37,22,24,25,20,24,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SKELMANTHORPE 1",423200,410600,106,79,69,56,49,42,43,38,31,36,34,23,21,18,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLAITHWAITE 4",408300,414300,NA,56,59,49,38,40,32,28,24,32,30,22,23,21,14,17,15,14,14,12,12,12,14,12,NA,NA,NA,NA,NA,NA,NA
"SLOUGH 13",501200,178600,37,38,45,42,41,29,28,25,20,34,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLOUGH 14",499300,179100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,15,16,14,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLOUGH 19",497600,179900,41,50,47,43,34,38,36,29,24,23,25,20,18,19,20,20,14,16,12,15,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLOUGH 20",493800,180900,NA,NA,NA,NA,158,109,96,64,83,57,60,70,74,70,42,57,48,40,30,32,35,34,27,27,25,25,19,10,15,21,19
"SMETHWICK 1",402300,288100,NA,NA,NA,NA,NA,NA,123,49,51,47,44,57,51,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMETHWICK 9",401700,287100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,46,39,24,19,18,15,13,10,10,9
"SOLIHULL 3",415200,279600,208,201,384,188,182,121,135,91,71,72,71,54,56,57,42,41,31,30,23,23,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOLIHULL 9",415300,279300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,18,16,14,15,8,NA,NA,NA,NA,NA
"SOUTH KILLINGHOLME 1",514900,416100,NA,70,35,35,32,29,27,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTH KIRKBY 1",445600,411200,NA,NA,NA,NA,NA,NA,NA,60,38,50,27,15,16,27,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTH NORMANTON 1",444100,357200,43,49,41,32,28,35,31,25,26,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTH NORMANTON 2",444200,356400,65,73,64,44,45,35,26,21,16,21,26,14,22,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTH SHIELDS 4",436500,565800,57,61,58,46,40,36,32,27,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTH SHIELDS 8",436500,565800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,19,18,14,18,12,13,17,14,10,12,13,9,11,11,NA,NA,NA,NA,NA
"SOUTHALL 9",512400,180500,55,53,49,43,38,34,37,26,24,29,21,23,22,18,14,14,10,11,11,11,11,11,11,9,11,9,8,NA,NA,NA,NA
"SOUTHALL 10",512800,180400,NA,NA,NA,NA,NA,NA,NA,NA,42,41,51,32,33,34,36,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHAMPTON 22",442100,112600,75,84,66,63,84,82,45,59,51,54,44,33,36,40,28,36,25,26,24,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHAMPTON 24",440400,113200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13,17,14,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHAMPTON 33",444200,113900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,30,28,34,23,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHAMPTON 37",441800,112200,66,76,78,58,64,50,25,36,29,45,34,28,31,27,19,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHEND-ON-SEA 2",587300,186200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,43,50,54,44,19,14,7,6,6
"SOUTHPORT 5",333600,417200,111,131,110,89,87,66,64,61,24,26,34,37,32,30,17,29,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHWARK 3",532200,178600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,23,30,21,22,17,17,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHWICK 5",525000,105500,50,42,43,39,34,42,37,28,16,15,17,14,17,20,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPENNYMOOR 1",427300,534200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,6,6,7,6
"STAFFORD 1",392200,321000,102,111,116,96,59,74,66,45,44,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STAINFORTH 1",424600,411700,110,79,155,118,136,102,93,72,79,64,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STALYBRIDGE 6",396500,398600,165,200,157,159,150,99,116,111,118,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STALYBRIDGE 7",396300,398700,59,70,66,52,54,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STANFORD-LE-HOPE 1",568500,182400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,31,33,35,24,32,22,22,21,14,18,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STANFORD-LE-HOPE 2",569200,182300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,9,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STANLEY (CO-DURHAM) 8",419400,552900,60,35,37,44,32,61,54,52,43,49,41,27,29,17,22,25,13,17,16,10,8,12,12,8,8,8,7,7,7,11,9
"STANLEY (CO-DURHAM) 9",419700,552300,31,22,23,27,25,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STANLEY (CO-DURHAM) 10",419100,551800,112,107,100,66,95,82,75,71,54,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STANLEY (CO-DURHAM) 11",417100,551300,53,23,60,44,45,38,41,29,24,23,25,22,20,21,15,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STAVELEY 11",443400,374900,NA,NA,NA,NA,NA,NA,50,31,22,23,25,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEEPLE CLAYDON 2",470100,226900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,18,12,14,11,12,10,12,8,NA,NA,NA,NA,NA,NA,NA,NA
"STIFFORD (ESSEX) 1",559900,180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,28,29,21,27,19,16,16,21,13,17,11,13,9,9,4,4,5
"STIRLING COUNTY 1",271600,678200,204,159,109,79,96,68,50,59,48,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STIRLING COUNTY 8",286700,682800,137,127,132,90,NA,73,41,43,33,29,38,20,21,21,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STIRLING (BURGH) 2",279500,693400,133,70,83,51,55,55,46,50,25,32,28,20,24,23,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STIRLING (BURGH) 4",279500,693400,121,102,90,40,45,39,29,28,23,29,28,23,29,25,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STIRLING (BURGH) 5",279700,694600,NA,NA,96,130,59,45,46,50,38,36,31,30,28,28,20,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKPORT 5",389500,389900,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,32,27,27,28,20,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKPORT 7",389200,393700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,9,12,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKPORT 8",387400,391200,NA,NA,NA,NA,NA,74,47,42,40,33,31,18,14,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKPORT 9",388400,389200,61,60,64,53,45,35,27,23,15,18,8,16,14,16,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKPORT 10",389900,390800,NA,NA,NA,122,75,53,61,47,25,28,15,25,17,23,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKPORT 11",392000,387000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,17,13,15,15,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKPORT 12",388700,389300,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,15,28,28,27,19,14,7,3,8,6,6,6,4,4,6,6,5,NA,NA,NA,NA
"STOCKSBRIDGE 12",427200,398400,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,12,13,10,13,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKTON-ON-TEES 5",442600,518200,NA,NA,NA,NA,NA,90,63,60,53,59,40,42,47,35,25,30,23,34,31,29,28,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKTON-ON-TEES 6",444900,520400,61,80,91,83,74,70,75,67,52,54,50,34,38,39,30,36,25,29,24,20,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKTON-ON-TEES 7",442300,521000,91,93,85,103,86,75,88,77,58,48,38,30,33,33,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKTON-ON-TEES 8",443600,520700,98,76,94,77,54,46,63,53,43,47,39,23,27,24,20,24,19,23,19,13,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOCKTON-ON-TEES 9",441500,519400,44,68,100,66,52,39,39,32,28,36,42,27,38,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOKE NEWINGTON 5",533000,186500,98,79,82,65,68,64,60,92,63,41,43,34,35,33,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOKE-ON-TRENT 3",386100,350500,158,123,161,149,139,144,142,130,114,117,111,79,75,57,50,52,39,41,32,27,28,23,26,21,24,19,17,16,13,10,13
"STOKE-ON-TRENT 10",391400,347200,NA,NA,226,149,126,94,107,93,76,70,63,36,43,31,29,34,25,27,26,23,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOKE-ON-TRENT 11",386600,344700,NA,NA,NA,NA,157,118,128,114,106,90,82,50,60,60,37,39,37,39,36,29,28,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOKE-ON-TRENT 18",387300,343800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,30,41,31,25,28,13,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOKE-ON-TRENT 19",385700,345200,NA,NA,NA,NA,35,23,20,20,17,14,13,16,18,14,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOKE-ON-TRENT 21",387500,345000,NA,NA,NA,NA,23,23,14,14,16,10,10,6,5,7,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOKE-ON-TRENT 22",385800,351500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,28,12,13,17,18,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STONEBROOM 1",441000,359500,47,45,41,33,28,29,24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STONY STRATFORD 1",478700,240300,136,123,105,92,79,60,57,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STORNOWAY 2",142500,932800,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,37,27,30,25,17,19,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
