 ,SAN FRANCISCO,NAPA,SAN DIEGO ,Fresno,Sant Cruz,Death Valley,OJAI,Barstow,LA,CedarPark,Redding,Eureka,Oxnard,Bakersfield,PasoRobles,SanJose,Sacramento,MendocinoForest
20120320,167,178,178,183,206,217,211,128,172,300,100,139,172,189,206,206,189,44
20120321,194,206,200,233,228,256,256,189,200,283,139,161,211,233,250,228,217,44
20120322,128,167,183,206,206,300,233,239,172,272,139,106,172,239,189,156,172,33
20120323,156,150,161,183,194,344,178,283,167,283,133,161,167,200,200,194,178,39
20120324,117,117,161,222,150,322,194,261,172,283,94,122,167,261,178,122,128,6
20120325,139,144,172,133,178,311,111,228,133,267,111,117,122,156,156,150,161,56
20120326,144,150,167,167,172,300,167,206,150,200,122,128,161,194,156,161,161,22
20120327,150,139,172,189,161,244,189,178,156,278,106,122,167,217,161,172,150,11
20120328,178,178,183,217,167,300,194,228,161,217,172,144,167,217,211,200,200,50
20120329,172,161,183,217,183,278,228,217,167,261,133,122,167,222,228,206,183,28
20120330,178,167,167,239,200,294,222,239,167,294,167,156,167,244,233,217,200,61
20120331,156,150,161,217,183,339,183,283,167,294,150,144,161,233,156,156,172,28
20120401,139,161,167,167,183,339,194,244,200,222,161,111,206,167,167,156,178,0
20120402,172,183,206,194,206,283,244,178,228,278,211,144,233,200,211,200,206,117
20120403,178,183,244,222,217,289,261,211,217,311,183,117,217,239,233,194,200,72
20120404,139,161,217,167,189,306,239,244,183,261,133,83,206,167,183,161,183,22
20120405,128,156,178,161,172,356,211,261,167,294,150,100,178,167,161,150,167,11
20120406,139,161,189,183,183,294,222,189,194,278,150,111,178,189,189,172,178,83
20120407,178,200,244,244,222,256,289,172,278,189,178,128,272,261,256,217,217,133
20120408,178,206,217,278,200,306,289,239,211,222,211,139,228,294,267,217,239,139
20120409,183,200,217,283,183,339,278,283,194,261,206,128,194,311,256,228,239,128
20120410,139,133,172,233,128,367,228,294,172,250,111,122,178,250,206,139,161,33
