 ,SAN FRANCISCO,NAPA,SAN DIEGO ,Fresno,Sant Cruz,Death Valley,OJAI,Barstow,LA,CedarPark,Redding,Eureka,Oxnard,Bakersfield,PasoRobles,SanJose,Sacramento,MendocinoForest
20121128,172,172,189,161,167,211,217,194,200,94,133,156,189,222,167,200,156,33
20121129,178,172,206,206,161,239,167,217,172,133,144,156,189,228,189,167,172,67
20121130,172,167,206,178,161,267,183,200,189,156,161,167,189,233,172,200,167,61
20121201,178,178,200,178,172,289,178,183,183,183,156,150,189,228,172,189,178,61
20121202,178,172,200,178,161,244,167,200,183,217,161,161,183,222,172,178,178,72
20121203,150,156,200,183,161,278,189,206,189,228,144,156,189,172,167,178,167,72
20121204,167,156,194,172,150,261,189,217,178,239,111,156,183,178,156,178,161,72
20121205,167,161,178,172,172,250,222,189,172,233,133,139,200,211,200,206,144,83
20121206,156,161,189,150,156,228,206,233,200,233,161,122,189,156,189,150,150,94
20121207,156,156,167,167,172,244,222,200,172,128,161,122,189,156,189,178,150,111
20121208,150,133,178,156,161,272,194,194,189,111,161,117,167,172,178,167,139,94
20121209,183,211,172,144,178,228,200,189,178,211,178,128,172,150,167,194,161,144
20121210,189,172,200,161,194,256,222,189,194,211,217,139,233,161,194,200,178,167
20121211,144,133,217,183,183,233,211,183,200,217,100,106,200,183,200,178,167,89
20121212,128,139,178,117,150,200,144,167,167,167,117,106,156,172,128,128,150,-6
20121213,122,133,161,167,144,244,144,156,156,100,122,106,156,100,111,117,122,33
20121214,117,106,156,122,117,194,122,128,144,117,89,106,139,111,100,117,106,11
20121215,94,83,150,106,83,183,128,106,150,156,17,94,144,111,89,94,78,-11
20121216,139,128,156,156,128,178,133,106,139,178,89,128,128,167,122,144,117,28
20121217,150,156,172,189,144,178,156,122,167,150,144,117,172,194,156,144,150,28
20121218,117,122,161,117,117,189,150,178,167,144,106,72,167,133,117,117,117,-44
20121219,106,111,144,111,122,206,133,100,156,172,61,106,156,111,111,122,111,6
20121220,156,156,189,156,150,156,156,89,200,206,78,100,183,161,144,150,139,0
20121221,144,139,156,156,128,150,167,89,167,200,44,117,172,156,144,139,128,0
20121222,150,144,161,139,133,144,139,94,156,94,111,100,144,189,139,133,139,-17
20121223,161,139,178,122,133,128,139,133,161,139,106,117,150,144,139,167,111,11
20121224,133,133,161,144,133,167,167,144,167,139,117,100,172,139,144,133,106,22
20121225,122,83,172,106,106,217,144,156,167,106,50,111,161,100,122,117,89,-6
20121226,128,133,161,139,117,161,150,83,161,133,83,83,156,144,122,122,128,-11
20121227,122,122,156,117,133,183,150,111,167,183,117,100,156,111,117,122,111,39
20121228,100,83,172,106,111,183,156,106,167,122,44,94,161,128,100,106,89,-33
20121229,122,128,150,122,111,167,94,89,128,89,111,100,122,111,117,111,128,39
20121230,128,144,139,128,133,167,133,83,139,128,111,94,144,111,117,122,128,39
