code,E2001,E2002,E2003,E2004,E2005,E2006,E2007,E2008,E2009,E2010
00DB,125.842073,127.36732,128.877393,130.115957,131.584188,132.982478,134.560819,136.645514,138.473819,138.473819
00EB,35.832214,36.217695,36.433193,36.886528,37.047642,37.472784,37.856011,38.328038,38.909899,38.909899
00EC,51.734386,52.432161,53.049625,53.467345,54.155551,54.914154,55.529321,56.019144,56.345207,56.345207
00EE,59.410424,60.19829,61.007858,61.983413,62.886862,63.751384,64.661897,65.284076,66.210375,66.210375
00EF,66.683329,68.114931,69.299866,70.638186,71.809319,73.222572,74.396333,75.873661,77.106405,77.106405
00EH,43.31,43.442631,43.89724,44.193071,44.31438,44.577861,44.87263,45.607315,46.045964,46.045964
00EJ,207.255225,210.30155,212.522955,214.122935,216.840546,219.918559,222.69975,225.988526,229.586432,229.586432
00EM,139.076193,141.89722,143.773567,145.623458,147.402321,149.658075,152.513201,155.338411,158.204845,158.204845
00EQ,155.033213,157.765561,160.792872,163.258255,166.351242,168.565616,171.655728,175.06751,178.807678,178.807678
00ET,40.904678,41.087676,41.336202,41.808592,42.342366,42.756235,43.22398,43.6661,44.010867,44.010867
00EU,70.385579,71.392172,72.426433,73.473756,74.922756,76.120057,77.047209,78.269678,79.828849,79.828849
00EW,136.010423,138.321102,141.140024,142.631174,144.973861,147.046724,149.67151,151.590756,154.239565,154.239565
00EX,47.381291,47.518227,47.572771,47.716647,47.6237,47.610322,47.642457,47.782266,47.800464,47.800464
00EY,72.244711,72.027192,71.855838,71.70187,71.396041,71.170157,70.661788,70.375281,70.275924,70.275924
00FA,96.308023,96.574701,96.286105,96.364081,96.336299,96.61396,96.814216,97.272415,97.3929,97.3929
00FB,148.487868,152.44401,155.476006,158.16465,161.834304,164.962924,169.050182,173.061051,177.07246,177.07246
00FC,67.278137,67.979859,68.344175,68.862474,69.603186,70.432061,70.794456,71.69421,72.501213,72.501213
00FD,66.23238,67.665206,68.556768,69.577757,70.790447,72.104578,72.932998,74.280877,75.622889,75.622889
00FF,80.065536,80.822646,81.664079,82.4467,83.099623,84.338568,85.73843,86.977263,88.12926,88.12926
00FK,96.073634,96.829908,97.734234,98.625216,99.869648,100.687695,101.355511,101.911936,102.821334,102.821334
00FN,100.936549,100.515426,100.165681,99.407545,98.754178,98.144063,97.538924,97.514233,97.524953,97.524953
00FP,15.021067,15.400555,15.777475,16.361265,16.992768,17.700504,18.32119,18.941764,19.586579,19.586579
00FY,100.166436,99.909186,99.165447,98.372754,97.689579,97.209274,96.871257,96.196073,95.583849,95.583849
00GA,87.404287,89.050078,90.770272,92.638573,94.011086,95.354029,97.139753,99.348906,101.274404,101.274404
00GF,51.524268,52.301674,53.434008,54.626745,55.395839,56.580004,57.71298,59.181876,60.562766,60.562766
00GG,132.816511,135.382085,137.495842,140.337342,143.147,146.575127,150.252982,153.351691,156.77659,156.77659
00GL,100.980387,101.392895,101.317018,100.95274,101.064762,101.224155,101.283016,101.061312,101.041241,101.041241
00HA,80.391707,81.081493,81.672997,81.999273,82.316169,82.853827,83.632395,84.38557,85.072236,85.072236
00HB,155.099037,154.170588,152.91991,152.437221,152.734651,152.488329,152.552099,152.143789,152.007757,152.007757
00HC,97.985398,98.889282,99.831543,101.316232,103.112875,105.002049,106.960864,109.256828,111.423804,111.423804
00HD,91.127157,93.38492,95.549482,97.959105,100.219767,103.059878,105.522053,108.256545,111.064961,111.064961
00HE,262.251434,266.618657,270.042175,273.170406,276.36285,280.645015,284.883774,289.601016,293.313046,293.313046
00HG,100.557129,100.99175,101.667477,102.248618,103.022128,103.634562,104.729021,105.822581,106.968242,106.968242
00HH,78.638762,79.161051,79.476643,79.810995,80.251209,80.866129,81.684139,82.536875,83.023676,83.023676
00HN,93.455648,92.420393,91.70221,90.793359,90.629221,90.296566,90.221743,89.733809,89.47182,89.47182
00HP,74.811399,75.860602,76.329702,76.733189,77.429735,77.822745,78.773891,79.227866,79.672179,79.672179
00HX,64.734801,65.50861,66.389746,67.57648,69.145926,70.398463,72.020255,73.760514,75.735635,75.735635
00HY,188.405776,191.730628,195.081016,198.775364,202.178999,205.783169,209.953277,214.281331,218.676334,218.676334
00JA,57.580365,57.97466,58.727643,59.751907,60.717293,61.074641,61.873683,62.937377,63.645921,63.645921
00KA,56.75065,57.475004,58.111157,58.765665,59.421794,60.179982,60.793041,61.781604,63.214747,63.214747
00KB,57.967543,59.160061,60.192165,61.016408,61.959346,62.813563,63.411087,64.959164,65.91707,65.91707
00KC,82.882241,84.547949,86.356942,88.464884,89.912095,91.904625,94.426522,96.929331,99.063763,99.063763
00KF,82.748281,82.695913,82.009352,81.396943,81.232409,80.650083,80.897404,81.212483,81.406971,81.406971
00KG,49.340668,50.240877,50.628883,51.311829,51.895795,52.511309,53.16077,53.8472,54.548745,54.548745
00LC,82.219042,83.069187,84.05149,84.827664,86.288631,87.105232,88.607534,89.976318,91.226458,91.226458
00MA,31.944981,32.450141,33.035345,33.725448,34.374617,35.054964,35.8552,36.835868,37.605198,37.605198
00MB,50.929338,51.559152,52.147133,53.012787,54.363203,55.674025,56.978287,58.411973,59.899454,59.899454
00MC,48.033935,48.232787,48.115951,48.476069,48.580542,48.791842,49.297614,49.551736,50.036829,50.036829
00MD,36.468086,36.816012,37.090377,37.164677,37.541048,38.079,38.202814,38.705392,39.501305,39.501305
00ME,53.672711,53.750299,54.242825,54.756322,55.53137,56.340289,57.411404,58.928931,60.052018,60.052018
00MF,46.844966,47.724444,48.975435,50.143012,51.848949,53.489178,55.707122,57.534357,59.948786,59.948786
00MG,58.748953,59.899316,60.795393,61.913603,63.24819,65.004795,67.040679,69.045311,70.979645,70.979645
00ML,109.693048,108.273244,106.70377,105.425778,104.773239,103.667435,102.667094,102.181507,101.668797,101.668797
00MR,77.727947,76.884877,76.229472,75.431881,75.242376,75.037868,74.993498,74.958248,75.309923,75.309923
00MS,85.097942,85.15276,84.647265,84.619548,84.604694,84.50915,85.023277,85.348149,85.402463,85.402463
11UB,56.594837,57.569529,58.654984,59.788693,61.048335,62.041655,63.864678,65.940232,67.831861,67.831861
11UC,38.897551,39.433749,39.845335,40.223012,41.12069,41.949986,42.884676,43.880028,44.714585,44.714585
11UE,28.17285,28.363511,28.628757,29.229618,29.730795,30.470711,31.152782,31.886301,32.668257,32.668257
11UF,59.130248,59.533271,60.33075,60.88479,62.007759,62.963966,64.354475,65.831398,67.486555,67.486555
12UB,39.122722,38.87101,38.881814,38.749539,39.027395,38.969494,38.841764,38.596685,38.584917,38.584917
12UC,31.249964,32.272053,33.184349,33.695539,34.496158,35.433812,36.576551,37.622864,38.660171,38.660171
12UD,40.798809,41.648275,42.754021,43.888098,44.941698,45.865847,47.148229,48.175945,49.146806,49.146806
12UE,54.400684,55.548572,56.988684,58.73974,60.447917,61.836015,63.100808,64.945754,66.936904,66.936904
12UG,51.708326,52.430376,53.496816,54.982673,56.219705,57.395136,58.874107,60.973984,62.309524,62.309524
16UB,43.626787,44.224779,44.665036,45.381747,45.949677,46.57166,47.291565,48.289615,48.978017,48.978017
16UC,31.339718,31.372921,31.388938,31.81117,31.959336,32.127605,32.233596,32.738399,33.165134,33.165134
16UD,46.178998,46.706192,47.170972,47.645965,48.064469,48.793359,49.583161,50.420473,51.002728,51.002728
16UE,28.77474,29.240666,29.704461,30.120173,30.755973,31.205347,31.747023,32.408807,32.919026,32.919026
16UF,23.69201,24.547042,24.966494,25.550197,26.096911,26.588349,27.101105,27.670923,28.34431,28.34431
16UG,55.897839,56.62009,57.737761,58.592641,59.6068,60.630192,61.747283,62.457798,63.555455,63.555455
17UB,51.624234,52.274187,52.396576,52.899591,53.496864,54.409608,55.331326,56.699794,57.439309,57.439309
17UC,32.2124,32.762733,33.230308,33.461053,33.563251,33.455819,33.791147,34.049307,34.578538,34.578538
17UD,46.07832,46.485243,46.510732,46.819372,47.459771,47.741812,48.266284,48.759997,49.216967,49.216967
17UF,34.604227,35.147717,35.573597,35.904902,36.493085,36.983251,37.479346,38.505574,39.575841,39.575841
17UG,45.675454,46.133206,46.500135,46.772344,47.323205,48.01383,48.777831,49.452909,50.643164,50.643164
17UH,36.57928,37.425459,37.94911,38.460118,39.085049,39.591321,40.420643,41.201928,41.822241,41.822241
17UJ,44.90804,45.574578,46.339145,47.261422,47.693648,48.462956,49.336468,49.886506,50.788867,50.788867
17UK,31.369416,31.908431,32.656316,32.973776,33.412952,34.043117,34.839889,35.757226,36.535913,36.535913
18UB,89.92518,90.773107,91.545707,92.629572,93.681977,94.474698,95.413407,96.305577,97.216762,97.216762
18UC,47.05101,47.380083,47.783247,47.835456,47.927927,48.39088,49.068736,49.710563,49.880976,49.880976
18UD,33.938785,34.587224,35.07037,35.716547,36.700713,37.215139,38.207022,38.866729,39.486316,39.486316
18UE,46.049319,46.772931,47.383738,48.048768,48.601971,49.212997,49.95075,50.837835,51.805943,51.805943
18UG,45.131138,45.38797,45.297868,45.776078,46.313699,46.918726,47.35762,47.882629,48.195569,48.195569
18UH,70.428773,71.552185,72.253444,73.070974,73.542573,74.461546,75.316595,76.536979,77.770353,77.770353
18UK,31.382984,32.208542,32.937219,33.777368,34.600429,35.254986,36.082248,36.849428,37.906123,37.906123
18UL,25.335302,25.553108,26.025103,26.48966,27.059312,27.523821,28.214751,29.128932,29.851398,29.851398
19UC,35.363124,35.684135,35.921108,35.726229,35.94859,36.329547,37.047018,37.515031,37.782553,37.782553
19UD,56.028564,57.465952,58.551464,59.209877,59.587411,60.233995,61.56605,62.737919,63.445854,63.445854
19UE,32.4839,33.012944,33.457686,34.285563,34.989825,35.484577,36.332066,36.998078,37.329376,37.329376
19UG,25.224091,25.451416,25.690973,25.873353,26.285098,26.933826,27.200966,27.923905,28.416073,28.416073
19UH,59.179635,60.344529,60.931433,62.007998,63.152804,63.923052,65.24659,66.65131,67.2845,67.2845
19UJ,32.755949,33.080826,33.401354,33.727035,34.122882,34.539316,34.817038,35.173816,35.37896,35.37896
21UC,60.313883,60.545081,60.466936,60.849997,60.730876,61.006761,61.373071,61.583497,61.868701,61.868701
21UD,41.010241,40.959125,40.677204,40.46565,40.554993,40.544603,40.386971,40.365758,40.792114,40.792114
21UF,55.412039,56.183656,56.70794,57.390802,58.166037,58.470932,59.10296,60.135402,61.539528,61.539528
21UG,65.592511,66.149353,66.032109,65.953409,65.976444,66.024914,66.745689,67.290714,67.64239,67.64239
21UH,78.576902,79.276385,79.905579,80.512898,81.521069,82.539273,84.097743,85.62783,86.798841,86.798841
22UB,62.227937,63.493202,64.307912,65.060389,66.156401,67.433018,68.6508,70.317993,71.487445,71.487445
22UC,53.147609,54.070979,54.690202,55.824811,56.729431,57.767796,59.298074,60.381674,61.702744,61.702744
22UD,32.527378,33.201527,33.828481,34.218149,34.745023,35.220412,35.678387,36.084667,36.859892,36.859892
22UE,38.151849,38.979923,39.753161,40.644069,42.061442,43.371684,44.604981,45.949702,47.171507,47.171507
22UF,60.356443,61.199785,62.456666,63.10746,64.158597,65.303278,66.961966,68.549385,70.424818,70.424818
22UG,60.937057,61.849772,63.149969,64.027431,65.047009,65.872984,66.840986,68.924136,70.638905,70.638905
22UH,53.982887,54.447548,54.816735,55.725867,55.989593,56.444385,56.980223,57.577005,58.030067,58.030067
22UJ,28.715554,29.350421,29.834451,30.266201,30.884467,31.429153,31.838915,32.40648,32.817513,32.817513
22UK,23.942339,24.44376,25.04761,25.67209,26.29536,26.978015,27.713029,28.469114,29.545907,29.545907
22UL,35.373634,36.143039,36.790663,37.692058,38.591423,39.255726,40.134715,41.181293,41.90592,41.90592
22UN,95.374748,96.206985,97.084117,98.392243,99.171233,99.982189,101.23763,102.544965,103.624274,103.624274
22UQ,27.996029,28.461066,29.142263,29.696742,30.550046,31.192676,31.704075,32.540765,33.279842,33.279842
23UB,51.64805,51.951433,51.867922,52.033934,52.563687,52.832649,53.074908,53.809698,54.288469,54.288469
23UC,42.541353,42.696796,43.351361,44.13394,44.732912,45.322371,46.140855,47.015509,48.046991,48.046991
23UD,36.248423,36.79619,37.231179,37.811448,38.753392,39.341198,39.932681,40.744424,41.923526,41.923526
23UE,43.427719,44.269025,44.941385,45.455401,45.878843,46.369778,46.642919,47.329944,48.10187,48.10187
23UF,50.747135,51.477533,51.954965,52.580282,53.129301,53.662111,54.069879,55.060084,55.97616,55.97616
23UG,36.075506,36.968294,37.481599,38.037166,38.621125,39.318553,40.108445,41.00006,41.771423,41.771423
24UB,50.004047,51.139682,51.733546,52.865184,53.932544,55.298679,56.821093,58.397083,59.928549,59.928549
24UC,46.134828,46.794266,47.695602,48.314406,49.370448,50.315735,51.411224,52.536579,53.994197,53.994197
24UD,45.463128,46.310892,47.01954,47.75624,48.532725,49.868488,50.554106,51.346726,52.46192,52.46192
24UE,48.541463,49.556937,50.433785,51.729528,53.059944,54.620069,56.282034,58.109646,59.734139,59.734139
24UF,32.070546,32.59246,33.025672,33.580433,34.087759,34.574528,35.290417,36.182034,36.745962,36.745962
24UG,28.240851,28.863557,29.573392,30.390074,31.22444,32.288007,33.519108,34.712904,35.936877,35.936877
24UH,55.956695,57.207991,58.151781,59.168327,60.284689,61.777139,63.325742,64.841901,65.898695,65.898695
24UJ,102.052461,103.811871,105.15928,107.029392,108.316564,110.171491,112.227814,113.830939,115.506885,115.506885
24UL,28.151122,28.230388,28.398458,28.849128,29.545109,30.190488,31.024267,31.536571,32.105158,32.105158
24UN,43.54477,44.29978,45.257751,45.899942,46.933851,48.323403,49.796529,50.67543,51.848785,51.848785
24UP,48.789285,49.517131,50.084405,50.880399,51.950409,52.410995,53.26684,54.183462,55.265365,55.265365
26UB,31.951088,32.614735,33.369837,33.971947,34.614075,35.514307,36.630333,37.514965,38.441788,38.441788
26UC,54.815364,55.682487,56.715117,57.678744,58.448102,58.863632,59.741363,60.87773,61.553515,61.553515
26UD,46.307825,47.212981,47.845825,48.815441,49.9634,51.193384,52.673249,54.252942,55.447212,55.447212
26UE,41.923823,42.283738,42.297427,42.111384,42.406038,42.498531,43.014669,43.526898,43.95888,43.95888
26UF,49.5532,50.220791,50.934996,51.701525,52.576361,53.522719,54.34768,55.54012,56.612483,56.612483
26UG,50.709629,51.346972,52.060257,52.245067,52.925619,53.418936,54.135263,55.092391,55.816451,55.816451
26UH,28.039298,28.646747,29.194131,29.497741,29.958947,30.33376,30.740131,31.115433,31.631103,31.631103
26UJ,36.326374,36.47505,36.905457,37.334175,37.584755,37.836407,38.376021,39.15551,39.959638,39.959638
26UK,28.171129,28.15592,28.082121,28.218365,28.299113,28.650023,28.983107,29.201641,29.785191,29.785191
26UL,43.211276,43.594072,43.990873,44.330491,45.010435,45.20205,45.67218,46.182964,47.010782,47.010782
29UB,43.923134,44.728545,45.228373,45.806249,46.521474,47.488902,48.936609,50.100656,51.189925,51.189925
29UC,69.785525,69.875191,69.964422,69.964312,70.276328,70.665019,71.32234,71.56253,72.204808,72.204808
29UD,31.907206,32.368495,32.663077,33.052938,33.576596,34.052385,35.001452,35.865915,36.688354,36.688354
29UE,51.559391,51.936007,52.421556,53.166727,53.705611,54.192005,55.095156,56.254229,56.750871,56.750871
29UG,37.07067,37.832836,38.251246,38.749954,39.417915,40.269921,40.883603,41.77471,42.637672,42.637672
29UH,56.875213,57.638153,58.239295,59.33312,60.357967,61.450787,62.964638,64.375215,65.987027,65.987027
29UK,48.739053,49.729744,50.283347,51.160673,51.970918,53.262418,54.170185,54.75633,55.74663,55.74663
29UL,51.372038,51.841929,51.902608,52.327563,52.848043,53.296254,54.025903,54.634621,55.588981,55.588981
29UM,47.766469,48.629715,49.597291,50.204985,50.963372,51.920407,52.801362,53.698026,54.753993,54.753993
29UN,73.537809,73.697596,73.524021,73.365751,73.276223,73.079893,73.585868,73.80375,73.282182,73.282182
29UP,41.531638,42.492302,43.166066,43.829238,44.844474,46.482178,47.796862,49.201623,50.602601,50.602601
29UQ,44.568224,44.639824,44.881991,45.383531,46.136246,46.527076,47.465353,48.412225,49.220143,49.220143
30UD,35.830874,35.961637,35.982134,35.933076,36.177875,36.239211,36.35218,36.367223,36.621941,36.621941
30UE,37.393131,37.863794,38.216469,38.423239,39.072922,40.15262,41.324312,42.195466,43.180431,43.180431
30UF,43.392192,43.731735,44.658359,45.44122,45.866704,46.433524,46.981071,47.481065,48.226394,48.226394
30UG,32.369203,32.545306,32.461782,32.681478,32.967749,33.055979,33.157729,32.948147,32.978612,32.978612
30UH,62.045316,62.460527,62.694768,63.09505,63.496265,63.748566,64.097043,65.048455,65.653315,65.653315
30UJ,36.043648,36.251052,36.293177,36.356283,36.529935,36.654355,36.974969,37.488927,37.619016,37.619016
30UK,48.744404,48.823838,48.849534,49.026564,49.414892,49.781381,49.978549,50.294674,50.36977,50.36977
30UL,24.040785,24.210411,24.762672,25.07604,25.679672,26.352341,26.901689,27.765669,28.536416,28.536416
30UM,24.550991,25.000862,25.086183,25.283637,25.210203,25.421399,25.809766,25.897317,25.918667,25.918667
30UN,41.742509,42.182026,43.076942,43.775062,44.713969,45.662456,46.543732,47.271346,48.286626,48.286626
30UP,42.858275,43.658366,44.375774,45.13083,45.906445,47.028893,48.239526,49.310215,50.414803,50.414803
30UQ,59.385544,60.684122,61.809275,62.673253,63.320814,64.275754,65.647889,66.60068,67.557682,67.557682
31UB,35.177595,36.276567,37.230577,38.213628,39.21977,40.461185,41.394947,42.387976,43.616939,43.616939
31UC,59.479436,60.447804,60.993668,62.113878,63.191325,64.247746,65.400786,66.970647,68.455787,68.455787
31UD,31.725907,32.607045,33.510961,34.428423,35.10637,35.995501,37.030575,38.169776,39.35416,39.35416
31UE,42.067032,42.960763,43.597646,44.381686,45.168411,45.954516,46.770946,48.05689,49.092083,49.092083
31UG,20.46582,20.842665,21.386209,21.747132,22.059232,22.254815,22.625906,22.9935,23.449189,23.449189
31UH,36.112805,36.649401,37.081582,37.414138,37.990653,38.661148,39.194155,40.082432,40.540066,40.540066
31UJ,24.147539,24.752295,25.486077,26.044882,26.843288,27.383103,27.948407,28.492244,29.169817,29.169817
32UB,28.004027,28.597456,29.227613,30.007356,30.398105,30.796745,31.241619,31.597751,31.867304,31.867304
32UC,73.516089,75.281692,77.466065,79.455208,81.139488,82.515192,84.301486,86.375738,87.677996,87.677996
32UD,35.310253,35.54154,35.614914,35.495856,35.712097,35.973837,36.032398,36.260804,36.398901,36.398901
32UE,44.270192,45.842423,46.984369,48.279761,49.636912,51.054146,52.103855,53.31678,54.467604,54.467604
32UF,41.624345,42.764307,43.962922,45.305901,46.222192,47.270051,48.125839,49.221312,49.916115,49.916115
32UG,54.407339,55.616321,56.970169,58.379791,59.649624,60.781044,61.695683,62.524975,64.147184,64.147184
32UH,37.43257,38.381168,39.317683,40.37816,41.371741,42.165299,43.335795,44.499626,45.541596,45.541596
33UB,61.149202,62.365787,63.536212,64.956816,66.462137,67.3347,68.933017,70.729603,72.455288,72.455288
33UC,59.542847,60.409576,61.660803,62.995795,64.116975,65.268148,66.519495,67.86422,69.030379,69.030379
33UD,46.618088,47.220681,48.103356,48.45362,48.763407,49.452801,50.220069,51.04959,51.896334,51.896334
33UE,74.26975,75.637206,76.713838,78.253568,79.571839,81.183391,82.442472,83.934071,85.486474,85.486474
33UF,64.386183,65.537647,66.591321,67.600324,68.883483,69.917586,71.205686,73.004559,74.294201,74.294201
33UG,54.880516,54.663636,54.663867,54.546837,54.586823,54.65491,54.714121,54.865707,55.077677,55.077677
33UH,56.333727,57.462711,58.44401,59.376338,60.555613,61.68238,62.888459,64.199549,65.615434,65.615434
34UB,18.799807,19.155044,19.44546,19.785404,20.16404,20.398596,20.673311,20.875476,21.378185,21.378185
34UC,25.607423,26.378881,26.931071,27.510446,28.167409,28.803942,29.479394,30.316132,31.540438,31.540438
34UD,30.633344,31.288907,32.011236,32.520157,33.062693,33.5048,34.227121,34.840303,35.778406,35.778406
34UE,34.500901,34.831213,35.185139,35.114122,35.545084,35.991293,36.583472,37.43489,37.880205,37.880205
34UF,71.291453,72.089273,72.655276,72.944184,73.188507,74.336412,75.386957,76.679371,77.60831,77.60831
34UG,29.335956,29.86104,30.633167,31.442989,32.418019,33.079822,34.157654,35.036005,36.005229,36.005229
34UH,28.388559,29.014975,29.275355,29.866753,30.340886,30.727705,31.074416,31.285931,31.693331,31.693331
