"ozone","temp","wind","date"
38.76647,17.8625,5.84583333333333,2017-06-17
49.49336,16.2208333333333,2.99583333333333,2017-06-18
61.31788,12.8333333333333,2.34166666666667,2017-06-19
58.5738,11.5583333333333,3.64166666666667,2017-06-20
60.02068,13.6125,5.38333333333333,2017-06-21
70.99703,13.6583333333333,4.1375,2017-06-22
68.75187,14.5708333333333,6.68333333333333,2017-06-23
63.91229,12.0416666666667,7.21666666666667,2017-06-24
61.8667,12.2958333333333,6.275,2017-06-25
66.40692,9.90833333333333,3.4625,2017-06-26
64.91014,9.89166666666667,5.0625,2017-06-27
77.78241,10.8125,6.05416666666667,2017-06-28
71.8452,11.5,8.28333333333333,2017-06-29
67.30498,11.6291666666667,5.46666666666667,2017-06-30
50.14196,12.6875,4.32083333333333,2017-07-01
60.12046,13.9,5.86666666666667,2017-07-02
50.29164,13.0125,4.74166666666667,2017-07-03
62.66498,10.1083333333333,2.175,2017-07-04
63.8624,9.4875,3.47916666666667,2017-07-05
60.76907,12.6458333333333,4.1,2017-07-06
41.80992,13.6791666666667,2.71666666666667,2017-07-07
63.96219,13.6833333333333,3.67083333333333,2017-07-08
57.14354,13.0833333333333,3.1,2017-07-09
56.22885,10.25,2.9875,2017-07-10
61.8667,10.7416666666667,3.5875,2017-07-11
58.87315,10.7791666666667,3.51666666666667,2017-07-12
62.16606,13.8875,4.10416666666667,2017-07-13
48.09637,13.65,4.30416666666667,2017-07-14
39.36518,13.5666666666667,4.7,2017-07-15
55.68003,13.3458333333333,5.47916666666667,2017-07-16
53.43487,16.2125,3.95,2017-07-17
62.66498,12.8666666666667,3.7875,2017-07-18
70.04907,13.7916666666667,6.14166666666667,2017-07-19
70.7143,12.5916666666667,2.89166666666667,2017-07-20
71.99488,11.8333333333333,4.4375,2017-07-21
77.53295,13.9333333333333,5.81666666666667,2017-07-22
74.5394,13.9375,5.75,2017-07-23
69.71645,13.1916666666667,5.87083333333333,2017-07-24
47.49766,12.3541666666667,2.30833333333333,2017-07-25
