amean_y1,amean_y2,amean_y3,amean_y4,amean_y5,amean_y6,amean_y7,amean_y8,amean_y9,amean_y10,amean_y11,amean_y12,amean_y13,amean_y14,amean_y15,amean_y16,k0,k1,k2,k3,ward91,cquint,region91,lungc3064,cpm3064,allmort3064,lungc65pls,cpm65pls,allmort65pls,pop3064,pop65pls,exp_lungc3064,exp_cpm_3064,exp_all_3064,exp_lungc65pls,exp_cpm_65pls,exp_all_65pls,RR_lungc3064,RR_cpm3064,RR_allmort3064,RR_lungc65pls,RR_cpm65pls,RR_allmort65pls,cscore                                                                                                                                                                    
350,326,293,218,290,225,190,105,53,105,44,36,24,18,16,24,297,203,60,21,03BRFL,5,8,21,76,149,37,191,326,2568,923,5.326,24.477,53.705,11.463,129.937,210.334,3.943,3.105,2.774,3.228,1.47,1.55,7.892
123,113,89,,59,45,46,50,38,36,31,30,28,28,20,17,108,50,34,23,03BSFB,5,8,25,87,185,37,293,508,4052,1733,8.404,38.621,84.741,21.523,243.966,394.918,2.975,2.253,2.183,1.719,1.201,1.286,6.936
122,91,62,41,48,35,38,29,26,16,9,24,23,21,12,11,79,38,19,17,03BSFD,2,8,11,41,90,31,365,615,5600,2352,11.615,53.376,117.115,29.21,331.107,535.976,0.947,0.768,0.768,1.061,1.102,1.147,-2.117
60,63,61,54,53,28,48,33,26,28,26,24,25,23,14,13,60,41,26,19,03BSFM,2,8,17,53,142,22,192,372,6330,1903,13.129,60.333,132.381,23.634,267.898,433.657,1.295,0.878,1.073,0.931,0.717,0.858,-2.619
133,70,83,51,55,55,46,50,25,32,28,20,24,23,15,14,84,52,26,19,03BSFP,2,8,11,45,100,29,363,610,5653,2089,11.725,53.881,118.223,25.944,294.083,476.043,0.938,0.835,0.846,1.118,1.234,1.281,-1.92
137,127,132,90,,73,41,43,33,29,38,20,21,21,13,11,122,52,30,17,03BSFS,4,8,14,73,140,25,294,474,6588,2195,13.664,62.793,137.777,27.26,309.005,500.199,1.025,1.163,1.016,0.917,0.951,0.948,1.497
162,161,141,107,115,70,63,74,57,56,53,44,33,34,16,23,143,81,53,27,03BTFC,5,8,12,74,126,20,320,487,3971,1743,8.236,37.849,83.047,21.647,245.374,397.196,1.457,1.955,1.517,0.924,1.304,1.226,6.521
111,131,110,89,87,66,64,61,24,26,34,37,32,30,17,29,110,70,30,27,03BTFU,3,8,14,45,92,17,219,318,4760,1468,9.873,45.369,99.548,18.231,206.66,334.529,1.418,0.992,0.924,0.932,1.06,0.951,-0.206
131,130,113,103,66,53,47,39,33,36,37,31,34,28,21,23,119,51,34,27,03BUFW,3,8,7,46,100,36,257,406,3994,1771,8.284,38.068,83.528,21.994,249.316,403.577,0.845,1.208,1.197,1.637,1.031,1.006,-0.447
144,167,164,139,122,126,184,117,65,34,38,27,30,22,27,25,154,137,41,26,03BWFK,4,8,17,81,133,21,386,560,5862,2205,12.158,55.873,122.594,27.384,310.413,502.477,1.398,1.45,1.085,0.767,1.244,1.114,1.976
164,148,137,98,97,81,81,83,73,49,57,41,39,30,26,29,137,86,55,31,03BWFP,5,8,20,76,149,24,296,442,4819,1838,9.995,45.932,100.781,22.827,258.748,418.845,2.001,1.655,1.478,1.051,1.144,1.055,3.237
171,159,145,101,71,47,72,81,60,41,48,35,33,25,27,29,144,68,46,29,03BWFQ,4,8,14,72,136,25,500,778,5297,2233,10.986,50.488,110.778,27.732,314.355,508.858,1.274,1.426,1.228,0.901,1.591,1.529,1.248
,47,60,54,34,56,51,36,26,33,34,24,24,24,19,24,54,44,29,23,04BYFB,4,8,16,72,155,51,593,948,6012,3353,12.469,57.303,125.731,41.642,472.025,764.085,1.283,1.256,1.233,1.225,1.256,1.241,1.592
78,115,79,60,67,62,56,34,37,44,43,32,32,33,26,34,83,55,39,31,04BYFC,4,8,20,96,198,26,323,540,6772,2942,14.046,64.546,141.625,36.537,414.165,670.426,1.424,1.487,1.398,0.712,0.78,0.805,0.07
79,48,66,43,54,42,40,24,20,24,27,20,18,17,13,19,59,40,23,17,04BYFM,4,8,15,69,156,33,406,636,7773,2895,16.122,74.087,162.559,35.954,407.549,659.715,0.93,0.931,0.96,0.918,0.996,0.964,0.758
40,61,122,93,83,73,77,54,50,46,50,35,28,18,22,31,79,72,45,25,04BYFQ,5,8,21,89,196,58,312,538,2496,1135,5.177,23.79,52.2,14.096,159.782,258.645,4.056,3.741,3.755,4.115,1.953,2.08,13.958
113,104,75,49,49,35,23,29,30,25,28,22,20,20,16,15,85,34,26,18,04BZFH,4,8,13,76,142,31,308,473,4426,2093,9.18,42.186,92.562,25.993,294.646,476.955,1.416,1.802,1.534,1.193,1.045,0.992,1.144
,178,162,145,101,94,76,52,59,31,41,21,24,19,21,16,162,81,38,20,04CAFF,5,8,25,72,145,37,319,496,5086,1885,10.549,48.476,106.365,23.41,265.364,429.555,2.37,1.485,1.363,1.581,1.202,1.155,5.064
,,76,56,20,39,39,28,27,21,30,22,20,22,21,21,66,32,25,21,04CAFW,1,8,5,38,99,19,233,364,5550,2119,11.511,52.899,116.069,26.316,298.306,482.88,0.434,0.718,0.853,0.722,0.781,0.754,-2.927
88,91,94,84,91,68,79,55,68,32,28,16,14,16,15,15,89,73,36,15,04CAFX,5,8,17,63,129,19,121,200,4391,1242,9.107,41.852,91.83,15.425,174.845,283.028,1.867,1.505,1.405,1.232,0.692,0.707,5.641
152,154,165,103,113,108,93,65,41,33,38,22,34,30,20,21,144,95,34,26,04CBFC,5,8,38,92,206,38,372,606,5706,2062,11.835,54.386,119.332,25.608,290.282,469.89,3.211,1.692,1.726,1.484,1.282,1.29,8.045
87,77,112,56,68,54,46,31,23,24,27,20,24,21,16,19,83,50,24,20,04CBFT,5,8,25,104,190,53,465,730,6083,2350,12.617,57.979,127.216,29.185,330.826,535.52,1.982,1.794,1.494,1.816,1.406,1.363,5.878
78,75,91,63,57,41,41,24,21,16,23,16,19,18,11,14,77,41,19,16,04CBFY,2,8,16,69,140,37,447,702,6936,3081,14.386,66.109,145.055,38.264,433.733,702.101,1.112,1.044,0.965,0.967,1.031,1,-2.008
152,175,156,144,148,134,132,98,79,79,80,79,85,76,59,64,157,128,79,71,05CCFA,5,2,9,51,103,19,245,379,4232,1323,8.778,40.337,88.505,16.431,186.248,301.486,1.025,1.264,1.164,1.156,1.315,1.257,4.159
209,225,237,141,133,118,116,82,112,76,78,69,66,70,49,58,203,112,84,61,05CCFB,5,2,16,58,120,17,165,254,3514,1363,7.288,33.493,73.489,16.927,191.879,310.602,2.195,1.732,1.633,1.004,0.86,0.818,7.201
163,227,167,166,175,118,166,157,137,96,101,85,86,87,68,76,181,154,105,79,05CCFX,5,2,10,50,105,26,236,368,4419,1871,9.165,42.119,92.416,23.236,263.393,426.365,1.091,1.187,1.136,1.119,0.896,0.863,3.43
