X,Y
-73.5550,45.5750
-73.5550,45.5850
-73.5550,45.5950
-73.5550,45.6050
-73.5550,45.6150
-73.5550,45.6250
-73.5550,45.6350
-73.5550,45.6450
-73.5550,45.6550
-73.5550,45.6650
-73.5450,45.4750
-73.5450,45.4850
-73.5450,45.4950
-73.5450,45.5050
-73.5450,45.5150
-73.5450,45.5250
-73.5450,45.5350
-73.5450,45.5450
-73.5450,45.5550
-73.5450,45.5650
-73.5450,45.5750
-73.5450,45.5850
-73.5450,45.5950
-73.5450,45.6050
-73.5450,45.6150
-73.5450,45.6250
-73.5450,45.6350
-73.5450,45.6450
-73.5450,45.6550
-73.5450,45.6650
-73.5450,45.6750
-73.5350,45.5450
-73.5350,45.5550
-73.5350,45.5650
-73.5350,45.5750
-73.5350,45.5850
-73.5350,45.5950
-73.5350,45.6050
-73.5350,45.6150
-73.5350,45.6250
-73.5350,45.6350
-73.5350,45.6450
-73.5350,45.6550
-73.5350,45.6650
-73.5350,45.6750
-73.5350,45.6850
-73.5250,45.5450
-73.5250,45.5550
-73.5250,45.5650
-73.5250,45.5750
-73.5250,45.5850
-73.5250,45.5950
-73.5250,45.6050
-73.5250,45.6150
-73.5250,45.6250
-73.5250,45.6350
-73.5250,45.6450
-73.5250,45.6550
-73.5250,45.6650
-73.5250,45.6750
-73.5250,45.6850
-73.5150,45.5650
-73.5150,45.5750
-73.5150,45.5850
-73.5150,45.5950
-73.5150,45.6050
-73.5150,45.6150
-73.5150,45.6250
-73.5150,45.6350
-73.5150,45.6450
-73.5150,45.6550
-73.5150,45.6650
-73.5150,45.6750
-73.5150,45.6850
-73.5150,45.6950
-73.5050,45.5750
-73.5050,45.5850
-73.5050,45.5950
-73.5050,45.6050
-73.5050,45.6150
-73.5050,45.6250
-73.5050,45.6350
-73.5050,45.6450
-73.5050,45.6550
-73.5050,45.6650
-73.5050,45.6750
-73.5050,45.6850
-73.5050,45.6950
-73.4950,45.6250
-73.4950,45.6350
-73.4950,45.6450
-73.4950,45.6550
-73.4950,45.6650
-73.4950,45.6750
-73.4950,45.6850
-73.4950,45.6950
-73.4850,45.6450
-73.4850,45.6550
-73.4850,45.6950
